,precision,recall,f1-score,support
CPUs,1.0,0.9950738916256158,0.9975308641975309,609.0
Digital Cameras,0.9958592132505176,1.0,0.9979253112033195,481.0
Dishwashers,0.9967105263157895,0.9967105263157895,0.9967105263157895,608.0
Freezers,0.9867021276595744,0.973753280839895,0.9801849405548216,381.0
Fridge Freezers,0.9833852544132918,0.9844074844074844,0.9838961038961039,962.0
Fridges,0.9597523219814241,0.9717868338557993,0.9657320872274143,638.0
Microwaves,0.9975961538461539,0.9904534606205251,0.9940119760479041,419.0
Mobile Phones,0.9972602739726028,0.994535519125683,0.9958960328317373,732.0
TVs,0.9954337899543378,0.9984732824427481,0.9969512195121951,655.0
Washing Machines,0.9926470588235294,0.9926470588235294,0.9926470588235294,680.0
accuracy,0.9899432278994322,0.9899432278994322,0.9899432278994322,0.9899432278994322
macro avg,0.9905346720217223,0.989784133805707,0.9901486120610345,6165.0
weighted avg,0.9899881313562219,0.9899432278994322,0.9899568401805376,6165.0
